(-14.8, 1)
(-13.5, 1)
(-13.0, 2)
(-12.5, 1)
(-11.0, 2)
(-10.7, 1)
(-10.2, 1)
(-9.3, 1)
(-8.9, 1)
(-8.7, 1)
(-8.6, 1)
(-8.3, 1)
(-7.8, 2)
(-7.5, 2)
(-7.4, 2)
(-7.3, 1)
(-7.2, 1)
(-7.0, 1)
(-6.9, 1)
(-6.7, 1)
(-6.4, 1)
(-6.3, 1)
(-6.2, 1)
(-6.1, 1)
(-6.0, 4)
(-5.8, 1)
(-5.7, 3)
(-5.6, 1)
(-5.5, 1)
(-5.2, 3)
(-5.0, 2)
(-4.9, 1)
(-4.8, 1)
(-4.7, 1)
(-4.6, 3)
(-4.4, 1)
(-4.3, 1)
(-4.2, 3)
(-4.0, 2)
(-3.9, 3)
(-3.8, 1)
(-3.7, 2)
(-3.6, 1)
(-3.5, 5)
(-3.4, 4)
(-3.3, 2)
(-3.1, 1)
(-3.0, 2)
(-2.5, 1)
(-2.4, 2)
(-2.3, 5)
(-2.2, 3)
(-2.1, 1)
(-2.0, 2)
(-1.9, 1)
(-1.7, 2)
(-1.6, 4)
(-1.4, 4)
(-1.3, 4)
(-1.1, 2)
(-1.0, 2)
(-0.9, 1)
(-0.8, 1)
(-0.6, 4)
(-0.5, 4)
(-0.4, 4)
(-0.3, 4)
(-0.2, 1)
(-0.1, 3)
(0.0, 231)
(0.1, 4)
(0.2, 15)
(0.3, 5)
(0.4, 18)
(0.5, 3)
(0.6, 6)
(0.7, 9)
(0.8, 4)
(0.9, 8)
(1.0, 17)
(1.1, 12)
(1.2, 3)
(1.3, 20)
(1.4, 10)
(1.5, 5)
(1.6, 12)
(1.7, 7)
(1.8, 3)
(1.9, 6)
(2.0, 6)
(2.1, 7)
(2.2, 4)
(2.3, 11)
(2.4, 5)
(2.5, 15)
(2.6, 1)
(2.7, 6)
(2.9, 13)
(3.0, 8)
(3.1, 9)
(3.2, 4)
(3.3, 8)
(3.4, 7)
(3.5, 10)
(3.6, 3)
(3.8, 9)
(3.9, 3)
(4.0, 6)
(4.1, 9)
(4.2, 3)
(4.3, 6)
(4.4, 7)
(4.5, 8)
(4.6, 7)
(4.7, 4)
(4.8, 12)
(4.9, 3)
(5.0, 19)
(5.1, 3)
(5.2, 2)
(5.3, 1)
(5.4, 16)
(5.5, 3)
(5.6, 7)
(5.7, 3)
(5.8, 2)
(5.9, 9)
(6.0, 11)
